date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:21:17	8063/8063	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22fd20091f8c0402ce197e885d86ab12ed%22	https://www.contiant.com/robots.txt		(from )
18:21:19	152424/152424	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Jan%202024%2012:51:18%20GMT	https://www.contiant.com/	D:/website/Website1/www.contiant.com/index.html	(from )
18:21:19	143355/143355	---M-Z	200	added ('OK')	text/css	etag:%225220c078ddaedc789d3f56fa394a901f%22	https://assets-global.website-files.com/63ce8fdfb773bb355dff79ca/css/contiant.webflow.998551745.css	D:/website/Website1/assets-global.website-files.com/63ce8fdfb773bb355dff79ca/css/contiant.webflow.998551745.css	(from https://www.contiant.com/)
18:21:20	917/917	---M--	200	added ('OK')	image/png	etag:%22dcf948e4307c280dcd6167d5575db3c2%22	https://assets-global.website-files.com/63ce8fdfb773bb355dff79ca/63eb8c784b27831e98c03664_fav-icon.png	D:/website/Website1/assets-global.website-files.com/63ce8fdfb773bb355dff79ca/63eb8c784b27831e98c03664_fav-icon.png	(from https://www.contiant.com/)
18:21:21	6650/6650	---M--	200	added ('OK')	image/png	etag:%22d9499f48ee5dc259eac8e995fc375de8%22	https://assets-global.website-files.com/63ce8fdfb773bb355dff79ca/63eb8cccb5634b12e620dca9_webclip.png	D:/website/Website1/assets-global.website-files.com/63ce8fdfb773bb355dff79ca/63eb8cccb5634b12e620dca9_webclip.png	(from https://www.contiant.com/)
18:21:21	41635/41635	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Jan%202024%2012:51:21%20GMT	https://www.contiant.com/cookie-policy	D:/website/Website1/www.contiant.com/cookie-policy.html	(from https://www.contiant.com/)
18:21:22	144681/144681	---M--	200	added ('OK')	image/png	etag:%221930740af148c88dcf113d51648cd173%22	https://assets-global.website-files.com/63ce8fdfb773bb355dff79ca/641ac915a7f275e22108af59_hero-1.png	D:/website/Website1/assets-global.website-files.com/63ce8fdfb773bb355dff79ca/641ac915a7f275e22108af59_hero-1.png	(from https://www.contiant.com/)
18:21:23	5394/5394	---M--	200	added ('OK')	image/png	etag:%22834221f6371e8987d733709f153b1fa2%22	https://assets-global.website-files.com/63ce8fdfb773bb355dff79ca/641ac914e2a34fe3e862ba9c_hero-1-1.png	D:/website/Website1/assets-global.website-files.com/63ce8fdfb773bb355dff79ca/641ac914e2a34fe3e862ba9c_hero-1-1.png	(from https://www.contiant.com/)
18:21:23	46186/46186	---M--	200	added ('OK')	image/png	etag:%22690a596a38372ae3b095484efc2a502a%22	https://assets-global.website-files.com/63ce8fdfb773bb355dff79ca/641ac915533494667d62486e_hero-2.png	D:/website/Website1/assets-global.website-files.com/63ce8fdfb773bb355dff79ca/641ac915533494667d62486e_hero-2.png	(from https://www.contiant.com/)
18:21:24	5903/5903	---M--	200	added ('OK')	image/png	etag:%2261827efeecd89ba57ff9bcd199f3b2ee%22	https://assets-global.website-files.com/63ce8fdfb773bb355dff79ca/641ac914c0a2eebeeb1c2460_hero-2-1.png	D:/website/Website1/assets-global.website-files.com/63ce8fdfb773bb355dff79ca/641ac914c0a2eebeeb1c2460_hero-2-1.png	(from https://www.contiant.com/)
18:21:25	15589/15589	---M--	200	added ('OK')	image/png	etag:%2237e224f9780eb67e9fbcdcaac0f215bf%22	https://assets-global.website-files.com/63ce8fdfb773bb355dff79ca/641ac914f64c5e1a4e5e68e5_hero-3.png	D:/website/Website1/assets-global.website-files.com/63ce8fdfb773bb355dff79ca/641ac914f64c5e1a4e5e68e5_hero-3.png	(from https://www.contiant.com/)
